,Average Parcipations
0,711.885714285714
1,665.3624999999997
2,792.6999999999998
3,819.6999999999994
4,796.2999999999997
5,918.4181818181812
6,789.1090909090907
7,797.463636363636
8,783.4909090909088
9,717.263636363636
10,795.1272727272722
11,883.1090909090905
12,761.2999999999996
13,826.2818181818177
14,930.2909090909087
15,782.5454545454542
16,820.9272727272721
17,748.9090909090904
18,784.845454545454
19,769.6083333333331
20,699.6333333333328
21,728.5333333333332
22,849.2999999999992
23,801.5916666666662
24,734.033333333333
25,749.9916666666662
26,755.2333333333328
27,774.6749999999997
28,799.2833333333328
29,807.5916666666662
30,792.7499999999994
31,809.4583333333329
32,901.3833333333328
33,853.7166666666661
34,833.5999999999996
35,843.4166666666661
36,822.9166666666662
37,852.0583333333334
38,765.975
39,836.9833333333335
40,853.8249999999999
41,898.3416666666667
42,824.2083333333335
43,871.7000000000002
44,830.8666666666668
45,711.2333333333332
46,873.3249999999998
47,740.0083333333336
48,763.1666666666669
49,728.9083333333333
50,847.4666666666668
51,793.5916666666668
52,801.4250000000002
53,770.8125
54,830.2000000000002
55,854.5166666666668
56,885.225
57,782.1125000000001
58,808.2583333333333
59,828.9375000000001
60,821.9541666666665
61,708.9416666666666
62,694.8041666666668
63,778.7500000000001
64,808.8916666666668
65,929.0500000000002
66,871.0750000000002
67,792.5583333333333
68,890.5250000000002
69,811.4291666666669
70,937.6954545454545
71,900.8090909090911
72,732.8818181818183
73,757.3699999999999
74,836.5000000000002
75,819.2166666666669
76,897.5111111111111
77,921.0055555555559
78,877.7555555555556
79,873.9444444444446
